2023-01-04 06:57:13,811 p=24570 u=ubuntu n=ansible | ok: [web01] => (item=user11)
2023-01-04 06:57:13,813 p=24570 u=ubuntu n=ansible | ok: [web02] => (item=user11)
2023-01-04 06:57:14,222 p=24570 u=ubuntu n=ansible | ok: [web03] => (item=user12)
2023-01-04 06:57:14,354 p=24570 u=ubuntu n=ansible | ok: [web02] => (item=user12)
2023-01-04 06:57:14,360 p=24570 u=ubuntu n=ansible | ok: [db01] => (item=user12)
2023-01-04 06:57:14,365 p=24570 u=ubuntu n=ansible | ok: [web01] => (item=user12)
2023-01-04 06:57:14,583 p=24570 u=ubuntu n=ansible | ok: [web03] => (item=user13)
2023-01-04 06:57:14,848 p=24570 u=ubuntu n=ansible | ok: [web02] => (item=user13)
2023-01-04 06:57:14,857 p=24570 u=ubuntu n=ansible | ok: [db01] => (item=user13)
2023-01-04 06:57:14,868 p=24570 u=ubuntu n=ansible | ok: [web01] => (item=user13)
2023-01-04 06:57:14,956 p=24570 u=ubuntu n=ansible | ok: [web03] => (item=user14)
2023-01-04 06:57:15,346 p=24570 u=ubuntu n=ansible | ok: [db01] => (item=user14)
2023-01-04 06:57:15,357 p=24570 u=ubuntu n=ansible | ok: [web01] => (item=user14)
2023-01-04 06:57:15,367 p=24570 u=ubuntu n=ansible | ok: [web02] => (item=user14)
2023-01-04 06:57:15,375 p=24570 u=ubuntu n=ansible | TASK [post-install : Banner file /etc/motd] ************************************
2023-01-04 06:57:16,546 p=24570 u=ubuntu n=ansible | ok: [web03]
2023-01-04 06:57:16,557 p=24570 u=ubuntu n=ansible | ok: [db01]
2023-01-04 06:57:16,558 p=24570 u=ubuntu n=ansible | ok: [web02]
2023-01-04 06:57:16,561 p=24570 u=ubuntu n=ansible | ok: [web01]
2023-01-04 06:57:16,573 p=24570 u=ubuntu n=ansible | TASK [post-install : Deploy NTP conf file for Redhat] **************************
2023-01-04 06:57:16,716 p=24570 u=ubuntu n=ansible | skipping: [web03]
2023-01-04 06:57:17,285 p=24570 u=ubuntu n=ansible | ok: [web01]
2023-01-04 06:57:17,337 p=24570 u=ubuntu n=ansible | ok: [web02]
2023-01-04 06:57:17,363 p=24570 u=ubuntu n=ansible | ok: [db01]
2023-01-04 06:57:17,372 p=24570 u=ubuntu n=ansible | TASK [post-install : Deploy NTP conf file for Debian] **************************
2023-01-04 06:57:17,445 p=24570 u=ubuntu n=ansible | skipping: [web01]
2023-01-04 06:57:17,472 p=24570 u=ubuntu n=ansible | skipping: [web02]
2023-01-04 06:57:17,591 p=24570 u=ubuntu n=ansible | skipping: [db01]
2023-01-04 06:57:18,093 p=24570 u=ubuntu n=ansible | ok: [web03]
2023-01-04 06:57:18,103 p=24570 u=ubuntu n=ansible | TASK [post-install : Dir for dev data] *****************************************
2023-01-04 06:57:18,633 p=24570 u=ubuntu n=ansible | ok: [web01]
2023-01-04 06:57:18,634 p=24570 u=ubuntu n=ansible | ok: [web02]
2023-01-04 06:57:18,635 p=24570 u=ubuntu n=ansible | ok: [web03]
2023-01-04 06:57:18,646 p=24570 u=ubuntu n=ansible | ok: [db01]
2023-01-04 06:57:18,656 p=24570 u=ubuntu n=ansible | TASK [post-install : deploy dev data file] *************************************
2023-01-04 06:57:19,576 p=24570 u=ubuntu n=ansible | ok: [web01]
2023-01-04 06:57:19,740 p=24570 u=ubuntu n=ansible | ok: [web03]
2023-01-04 06:57:19,752 p=24570 u=ubuntu n=ansible | ok: [db01]
2023-01-04 06:57:19,754 p=24570 u=ubuntu n=ansible | ok: [web02]
2023-01-04 06:57:19,759 p=24570 u=ubuntu n=ansible | PLAY RECAP *********************************************************************
2023-01-04 06:57:19,760 p=24570 u=ubuntu n=ansible | db01                       : ok=9    changed=0    unreachable=0    failed=0    skipped=3    rescued=0    ignored=0   
2023-01-04 06:57:19,760 p=24570 u=ubuntu n=ansible | web01                      : ok=9    changed=0    unreachable=0    failed=0    skipped=3    rescued=0    ignored=0   
2023-01-04 06:57:19,760 p=24570 u=ubuntu n=ansible | web02                      : ok=9    changed=0    unreachable=0    failed=0    skipped=3    rescued=0    ignored=0   
